household_key,week_no,total_sales_value,age,marital_status,income,homeowner,hh_comp,hh_size,kids,sales_growth,week_over_week
1,33,123.86,5,0,8,0,2,1,3,,
1,34,42.8,5,0,8,0,2,1,3,-65.4448570967221,0.3455514290327789
1,36,80.45,5,0,8,0,2,1,3,87.9672897196262,1.879672897196262
1,38,72.82000000000001,5,0,8,0,2,1,3,-9.484151646985694,0.905158483530143
1,40,113.07000000000001,5,0,8,0,2,1,3,55.27327657237022,1.5527327657237022
1,41,27.67,5,0,8,0,2,1,3,-75.52843371362873,0.2447156628637127
1,42,73.77,5,0,8,0,2,1,3,166.60643295988433,2.6660643295988433
1,44,48.5,5,0,8,0,2,1,3,-34.255117256337265,0.6574488274366274
1,45,75.88,5,0,8,0,2,1,3,56.45360824742267,1.5645360824742267
1,46,14.309999999999999,5,0,8,0,2,1,3,-81.14127569847128,0.1885872430152873
1,47,61.230000000000004,5,0,8,0,2,1,3,327.88259958071285,4.278825995807129
1,49,117.46000000000001,5,0,8,0,2,1,3,91.8340682671893,1.918340682671893
1,51,68.8,5,0,8,0,2,1,3,-41.42686872126682,0.5857313127873318
1,52,97.57000000000001,5,0,8,0,2,1,3,41.8168604651163,1.418168604651163
1,54,90.71,5,0,8,0,2,1,3,-7.030849646407722,0.9296915035359228
1,56,7.99,5,0,8,0,2,1,3,-91.19170984455958,0.08808290155440412
1,58,88.2,5,0,8,0,2,1,3,1003.8798498122654,11.038798498122654
1,60,89.18,5,0,8,0,2,1,3,1.1111111111111072,1.011111111111111
1,61,82.84,5,0,8,0,2,1,3,-7.109217313298954,0.9289078268670105
1,62,49.33,5,0,8,0,2,1,3,-40.451472718493484,0.5954852728150651
1,63,137.88,5,0,8,0,2,1,3,179.50537198459355,2.7950537198459355
1,65,69.78,5,0,8,0,2,1,3,-49.39077458659704,0.5060922541340296
1,67,68.81,5,0,8,0,2,1,3,-1.3900831183720208,0.9860991688162798
1,68,79.27,5,0,8,0,2,1,3,15.201278883883141,1.1520127888388314
1,69,26.72,5,0,8,0,2,1,3,-66.29241831714394,0.3370758168285606
1,70,32.2,5,0,8,0,2,1,3,20.50898203592817,1.2050898203592817
1,71,96.71000000000001,5,0,8,0,2,1,3,200.34161490683232,3.003416149068323
1,72,9.879999999999999,5,0,8,0,2,1,3,-89.78388998035363,0.10216110019646363
1,73,39.9,5,0,8,0,2,1,3,303.8461538461538,4.038461538461538
1,74,38.69,5,0,8,0,2,1,3,-3.0325814536340867,0.9696741854636591
1,77,26.32,5,0,8,0,2,1,3,-31.972085810286888,0.6802791418971311
1,78,96.59,5,0,8,0,2,1,3,266.98328267477206,3.6698328267477205
1,79,8.469999999999999,5,0,8,0,2,1,3,-91.23097629154157,0.08769023708458434
1,80,99.68,5,0,8,0,2,1,3,1076.8595041322317,11.768595041322316
1,82,87.98,5,0,8,0,2,1,3,-11.73756019261637,0.8826243980738363
1,84,23.67,5,0,8,0,2,1,3,-73.09615821777678,0.26903841782223226
1,85,55.550000000000004,5,0,8,0,2,1,3,134.68525559780312,2.3468525559780313
1,86,133.84,5,0,8,0,2,1,3,140.9360936093609,2.4093609360936092
1,87,5.98,5,0,8,0,2,1,3,-95.53197848176927,0.04468021518230725
1,88,54.71,5,0,8,0,2,1,3,814.8829431438127,9.148829431438127
1,89,81.23,5,0,8,0,2,1,3,48.473770791445816,1.4847377079144581
1,90,8.14,5,0,8,0,2,1,3,-89.97907177151299,0.10020928228487014
1,91,57.88,5,0,8,0,2,1,3,611.056511056511,7.11056511056511
1,92,68.34,5,0,8,0,2,1,3,18.07187284035936,1.1807187284035936
1,93,41.57,5,0,8,0,2,1,3,-39.17178811823238,0.6082821188176762
1,95,90.21000000000001,5,0,8,0,2,1,3,117.00745730093817,2.170074573009382
1,97,79.07000000000001,5,0,8,0,2,1,3,-12.348963529542178,0.8765103647045782
1,99,118.56,5,0,8,0,2,1,3,49.943088402681155,1.4994308840268116
1,100,91.33,5,0,8,0,2,1,3,-22.967273954116063,0.7703272604588394
1,102,81.29,5,0,8,0,2,1,3,-10.993101938026928,0.8900689806197307
7,34,52.68,3,0,9,0,2,1,3,,
7,40,72.58,3,0,9,0,2,1,3,37.77524677296886,1.3777524677296886
7,44,21.689999999999998,3,0,9,0,2,1,3,-70.11573436208323,0.29884265637916774
7,46,12.28,3,0,9,0,2,1,3,-43.3840479483633,0.566159520516367
7,47,96.09,3,0,9,0,2,1,3,682.4918566775244,7.824918566775245
7,48,74.72,3,0,9,0,2,1,3,-22.239567072536172,0.7776043292746383
7,53,30.07,3,0,9,0,2,1,3,-59.75642398286938,0.4024357601713062
7,54,77.17,3,0,9,0,2,1,3,156.63451945460594,2.5663451945460594
7,55,84.0,3,0,9,0,2,1,3,8.850589607360382,1.0885058960736038
7,57,115.56,3,0,9,0,2,1,3,37.57142857142857,1.3757142857142857
7,59,68.98,3,0,9,0,2,1,3,-40.308065074420206,0.5969193492557979
7,60,47.97,3,0,9,0,2,1,3,-30.458103798202384,0.6954189620179761
7,61,158.46,3,0,9,0,2,1,3,230.33145716072548,3.3033145716072547
