household_key,week_no,total_sales_value,num_baskets,num_coupons,num_coupon_match,age,marital_status,income,homeowner,hh_comp,hh_size,kids
1,33,123.86,1,7,5,5,0,8,0,2,1,3
1,34,42.8,2,0,0,5,0,8,0,2,1,3
1,36,80.45,2,0,0,5,0,8,0,2,1,3
1,38,72.82000000000001,1,3,1,5,0,8,0,2,1,3
1,40,113.07000000000001,2,7,6,5,0,8,0,2,1,3
1,41,27.67,1,0,0,5,0,8,0,2,1,3
1,42,73.77,1,6,4,5,0,8,0,2,1,3
1,44,48.5,1,2,2,5,0,8,0,2,1,3
1,45,75.88,1,0,0,5,0,8,0,2,1,3
1,46,14.309999999999999,1,0,0,5,0,8,0,2,1,3
1,47,61.230000000000004,1,1,1,5,0,8,0,2,1,3
1,49,117.46000000000001,1,2,1,5,0,8,0,2,1,3
1,51,68.8,1,0,0,5,0,8,0,2,1,3
1,52,97.57000000000001,1,4,2,5,0,8,0,2,1,3
1,54,90.71,2,4,3,5,0,8,0,2,1,3
1,56,7.99,1,0,0,5,0,8,0,2,1,3
1,58,88.2,2,6,4,5,0,8,0,2,1,3
1,60,89.18,1,6,5,5,0,8,0,2,1,3
1,61,82.84,2,3,2,5,0,8,0,2,1,3
1,62,49.33,1,3,1,5,0,8,0,2,1,3
1,63,137.88,2,4,3,5,0,8,0,2,1,3
1,65,69.78,1,0,0,5,0,8,0,2,1,3
1,67,68.81,1,0,0,5,0,8,0,2,1,3
1,68,79.27,2,6,4,5,0,8,0,2,1,3
1,69,26.72,1,0,0,5,0,8,0,2,1,3
1,70,32.2,1,0,0,5,0,8,0,2,1,3
1,71,96.71000000000001,1,0,0,5,0,8,0,2,1,3
1,72,9.879999999999999,2,0,0,5,0,8,0,2,1,3
1,73,39.9,1,0,0,5,0,8,0,2,1,3
1,74,38.69,1,0,0,5,0,8,0,2,1,3
1,77,26.32,3,0,0,5,0,8,0,2,1,3
1,78,96.59,2,0,0,5,0,8,0,2,1,3
1,79,8.469999999999999,1,0,0,5,0,8,0,2,1,3
1,80,99.68,1,0,0,5,0,8,0,2,1,3
1,82,87.98,1,0,0,5,0,8,0,2,1,3
1,84,23.67,1,0,0,5,0,8,0,2,1,3
1,85,55.550000000000004,1,0,0,5,0,8,0,2,1,3
1,86,133.84,1,7,4,5,0,8,0,2,1,3
1,87,5.98,1,0,0,5,0,8,0,2,1,3
1,88,54.71,2,1,1,5,0,8,0,2,1,3
1,89,81.23,1,0,0,5,0,8,0,2,1,3
1,90,8.14,1,0,0,5,0,8,0,2,1,3
1,91,57.88,1,0,0,5,0,8,0,2,1,3
1,92,68.34,1,5,3,5,0,8,0,2,1,3
1,93,41.57,2,0,0,5,0,8,0,2,1,3
1,95,90.21000000000001,1,6,6,5,0,8,0,2,1,3
1,97,79.07000000000001,1,1,1,5,0,8,0,2,1,3
1,99,118.56,2,1,1,5,0,8,0,2,1,3
1,100,91.33,3,0,0,5,0,8,0,2,1,3
1,102,81.29,1,1,1,5,0,8,0,2,1,3
7,34,52.68,2,2,2,3,0,9,0,2,1,3
7,40,72.58,1,0,0,3,0,9,0,2,1,3
7,44,21.689999999999998,1,0,0,3,0,9,0,2,1,3
7,46,12.28,1,0,0,3,0,9,0,2,1,3
7,47,96.09,1,1,0,3,0,9,0,2,1,3
7,48,74.72,1,0,0,3,0,9,0,2,1,3
7,53,30.07,1,0,0,3,0,9,0,2,1,3
7,54,77.17,2,0,0,3,0,9,0,2,1,3
7,55,84.0,1,0,0,3,0,9,0,2,1,3
7,57,115.56,1,0,0,3,0,9,0,2,1,3
7,59,68.98,1,0,0,3,0,9,0,2,1,3
7,60,47.97,1,0,0,3,0,9,0,2,1,3
7,61,158.46,1,0,0,3,0,9,0,2,1,3
7,63,145.52,1,0,0,3,0,9,0,2,1,3
