week_no,total_sales_value,num_baskets,num_coupons,num_coupon_match,age,marital_status,income,homeowner,hh_comp,hh_size,kids
33,123.86,1,7,5,5,0,8,0,2,1,3
34,42.8,2,0,0,5,0,8,0,2,1,3
36,80.45,2,0,0,5,0,8,0,2,1,3
38,72.82000000000001,1,3,1,5,0,8,0,2,1,3
40,113.07000000000001,2,7,6,5,0,8,0,2,1,3
41,27.67,1,0,0,5,0,8,0,2,1,3
42,73.77,1,6,4,5,0,8,0,2,1,3
44,48.5,1,2,2,5,0,8,0,2,1,3
45,75.88,1,0,0,5,0,8,0,2,1,3
46,14.309999999999999,1,0,0,5,0,8,0,2,1,3
47,61.230000000000004,1,1,1,5,0,8,0,2,1,3
49,117.46000000000001,1,2,1,5,0,8,0,2,1,3
51,68.8,1,0,0,5,0,8,0,2,1,3
52,97.57000000000001,1,4,2,5,0,8,0,2,1,3
54,90.71,2,4,3,5,0,8,0,2,1,3
56,7.99,1,0,0,5,0,8,0,2,1,3
58,88.2,2,6,4,5,0,8,0,2,1,3
60,89.18,1,6,5,5,0,8,0,2,1,3
61,82.84,2,3,2,5,0,8,0,2,1,3
62,49.33,1,3,1,5,0,8,0,2,1,3
63,137.88,2,4,3,5,0,8,0,2,1,3
65,69.78,1,0,0,5,0,8,0,2,1,3
67,68.81,1,0,0,5,0,8,0,2,1,3
68,79.27,2,6,4,5,0,8,0,2,1,3
69,26.72,1,0,0,5,0,8,0,2,1,3
70,32.2,1,0,0,5,0,8,0,2,1,3
71,96.71000000000001,1,0,0,5,0,8,0,2,1,3
72,9.879999999999999,2,0,0,5,0,8,0,2,1,3
73,39.9,1,0,0,5,0,8,0,2,1,3
74,38.69,1,0,0,5,0,8,0,2,1,3
77,26.32,3,0,0,5,0,8,0,2,1,3
78,96.59,2,0,0,5,0,8,0,2,1,3
79,8.469999999999999,1,0,0,5,0,8,0,2,1,3
80,99.68,1,0,0,5,0,8,0,2,1,3
82,87.98,1,0,0,5,0,8,0,2,1,3
84,23.67,1,0,0,5,0,8,0,2,1,3
85,55.550000000000004,1,0,0,5,0,8,0,2,1,3
86,133.84,1,7,4,5,0,8,0,2,1,3
87,5.98,1,0,0,5,0,8,0,2,1,3
88,54.71,2,1,1,5,0,8,0,2,1,3
89,81.23,1,0,0,5,0,8,0,2,1,3
90,8.14,1,0,0,5,0,8,0,2,1,3
91,57.88,1,0,0,5,0,8,0,2,1,3
92,68.34,1,5,3,5,0,8,0,2,1,3
93,41.57,2,0,0,5,0,8,0,2,1,3
95,90.21000000000001,1,6,6,5,0,8,0,2,1,3
97,79.07000000000001,1,1,1,5,0,8,0,2,1,3
99,118.56,2,1,1,5,0,8,0,2,1,3
100,91.33,3,0,0,5,0,8,0,2,1,3
102,81.29,1,1,1,5,0,8,0,2,1,3
34,52.68,2,2,2,3,0,9,0,2,1,3
40,72.58,1,0,0,3,0,9,0,2,1,3
44,21.689999999999998,1,0,0,3,0,9,0,2,1,3
46,12.28,1,0,0,3,0,9,0,2,1,3
47,96.09,1,1,0,3,0,9,0,2,1,3
48,74.72,1,0,0,3,0,9,0,2,1,3
53,30.07,1,0,0,3,0,9,0,2,1,3
54,77.17,2,0,0,3,0,9,0,2,1,3
55,84.0,1,0,0,3,0,9,0,2,1,3
57,115.56,1,0,0,3,0,9,0,2,1,3
59,68.98,1,0,0,3,0,9,0,2,1,3
60,47.97,1,0,0,3,0,9,0,2,1,3
61,158.46,1,0,0,3,0,9,0,2,1,3
63,145.52,1,0,0,3,0,9,0,2,1,3
64,31.07,1,0,0,3,0,9,0,2,1,3
65,136.97,1,2,1,3,0,9,0,2,1,3
69,14.59,1,0,0,3,0,9,0,2,1,3
74,24.52,1,0,0,3,0,9,0,2,1,3
75,114.0,1,5,2,3,0,9,0,2,1,3
77,79.88,1,1,0,3,0,9,0,2,1,3
79,108.61,1,0,0,3,0,9,0,2,1,3
80,64.55,1,0,0,3,0,9,0,2,1,3
81,119.3,1,0,0,3,0,9,0,2,1,3
83,19.97,1,0,0,3,0,9,0,2,1,3
85,10.18,1,0,0,3,0,9,0,2,1,3
87,38.85,1,0,0,3,0,9,0,2,1,3
88,50.59,2,0,0,3,0,9,0,2,1,3
90,20.5,1,0,0,3,0,9,0,2,1,3
91,77.71000000000001,1,0,0,3,0,9,0,2,1,3
92,101.58,2,0,0,3,0,9,0,2,1,3
93,6.99,1,0,0,3,0,9,0,2,1,3
94,81.12,2,1,0,3,0,9,0,2,1,3
95,157.87,2,0,0,3,0,9,0,2,1,3
96,123.34,1,5,2,3,0,9,0,2,1,3
98,129.34,1,5,3,3,0,9,0,2,1,3
99,23.37,1,0,0,3,0,9,0,2,1,3
100,86.34,2,0,0,3,0,9,0,2,1,3
101,111.79,1,1,1,3,0,9,0,2,1,3
102,59.980000000000004,2,0,0,3,0,9,0,2,1,3
34,89.66,1,2,0,1,2,6,4,1,2,0
35,56.67,1,1,0,1,2,6,4,1,2,0
36,93.1,4,1,0,1,2,6,4,1,2,0
39,7.180000000000001,1,0,0,1,2,6,4,1,2,0
40,91.45,2,0,0,1,2,6,4,1,2,0
41,18.18,1,0,0,1,2,6,4,1,2,0
